MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1919025	1300017J02Rik	RIKEN cDNA 1300017J02 gene	9		plasma membrane			IBA	PTN000449834 	J:265628 	
MGI:1914330	1700019D03Rik	RIKEN cDNA 1700019D03 gene	1		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1914733	1700028P14Rik	RIKEN cDNA 1700028P14 gene	19		plasma membrane			IBA	PTN002170265 	J:265628 	
MGI:1914733	1700028P14Rik	RIKEN cDNA 1700028P14 gene	19		plasma membrane			ISO	Q5VTT2 	J:164563 	
MGI:1925709	1700057G04Rik	RIKEN cDNA 1700057G04 gene	9		plasma membrane			IBA	PTN000582979 	J:265628 	
MGI:1919306	1810055G02Rik	RIKEN cDNA 1810055G02 gene	19		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1914407	2610301B20Rik	RIKEN cDNA 2610301B20 gene	4		plasma membrane			ISO	Q96NL8 	J:164563 	
MGI:1913701	2610528J11Rik	RIKEN cDNA 2610528J11 gene	4		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1925368	4930451I11Rik	RIKEN cDNA 4930451I11 gene	7		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:1924125	4930516K23Rik	RIKEN cDNA 4930516K23 gene	7		plasma membrane			IBA	PTN001238803 	J:265628 	
MGI:1914903	4930544G11Rik	RIKEN cDNA 4930544G11 gene	6		cleavage furrow			IBA	PTN002784793 	J:265628 	
MGI:1914903	4930544G11Rik	RIKEN cDNA 4930544G11 gene	6		plasma membrane			IBA	PTN001530052 	J:265628 	
MGI:1921304	4931406B18Rik	RIKEN cDNA 4931406B18 gene	7		plasma membrane			IBA	PTN000247340 	J:265628 	
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		integral component of plasma membrane			IBA	PTN002607978 	J:265628 	
MGI:2443020	A530016L24Rik	RIKEN cDNA A530016L24 gene	12		plasma membrane			IBA	PTN002198849 	J:265628 	
MGI:2443020	A530016L24Rik	RIKEN cDNA A530016L24 gene	12		plasma membrane	is a part of white fat cell,is a part of white fat		IDA		J:192120 	
MGI:2138143	AA986860	expressed sequence AA986860	1		plasma membrane			ISO	Q9BW04 	J:164563 	
MGI:1098687	Aak1	AP2 associated kinase 1	6		clathrin-coated pit			IEA	KW-0168 	J:60000 	
MGI:1098687	Aak1	AP2 associated kinase 1	6		plasma membrane			IEA	KW-1003 	J:60000 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		basolateral plasma membrane			ISO	RGD:631344 	J:155856 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		external side of plasma membrane			IDA		J:200990 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		integral component of plasma membrane			IDA		J:63265 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		integral component of plasma membrane			ISO	O95477 	J:164563 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		plasma membrane			IDA		J:85674 J:94706 	
MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4		plasma membrane			ISO	O95477 	J:164563 	
MGI:99606	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	2		plasma membrane			ISO	Q9BZC7 	J:164563 	
MGI:1351617	Abca3	ATP-binding cassette, sub-family A (ABC1), member 3	17		plasma membrane			ISO	Q99758 	J:73065 	
MGI:109424	Abca4	ATP-binding cassette, sub-family A (ABC1), member 4	3		integral component of plasma membrane			TAS		J:48634 	
MGI:1923434	Abca6	ATP-binding cassette, sub-family A (ABC1), member 6	11		plasma membrane			ISO	Q8N139 	J:164563 	
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		apical plasma membrane	is a part of renal proximal tubule		IDA		J:94706 	
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		phagocytic cup	exists during phagocytosis		IDA		J:112621 	
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		plasma membrane			ISO	RGD:1303134 	J:155856 	
MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10		plasma membrane			ISO	Q8IZY2 	J:164563 	
